,word,freq
1245,upstairs,27
5755,green,27
584,eliza,27
541,dinner,27
5774,free,27
133,plain,27
6149,marriage,27
683,nearly,27
73,language,27
180,stranger,27
212,books,27
5333,ground,26
6656,consider,26
2815,thin,26
3095,forward,26
1498,kitchen,26
1898,tried,26
591,drawing-room,26
3081,months,26
2543,liberty,26
2748,notice,26
590,mama,26
369,thinking,26
1138,doing,26
2370,heaven,26
492,third,26
3860,inquired,26
310,show,26
2693,weeks,25
3445,settled,25
6641,“now,25
758,“where,25
1057,affection,25
316,walls,25
4784,pure,25
1829,considered,25
545,company,25
1038,miles,25
1826,promise,25
4008,met,25
216,whatever,25
4425,seems,25
5108,to-morrow,25
1576,figure,25
1188,cut,25
1004,stand,25
3743,reached,25
2358,passing,25
2313,meantime,25
1205,c,25
1356,hold,25
718,wet,25
1149,says,25
2468,frame,25
679,drawn,25
6136,governess,25
682,curtain,25
1404,try,25
2343,grey,24
134,tale,24
1036,account,24
74,english,24
888,picture,24
320,hate,24
935,knee,24
3631,“why,24
8357,absolutely,24
373,society,24
821,dim,24
1521,husband,24
9222,party,24
2180,moved,24
1539,bitter,24
833,standing,24
2636,year,24
1289,resolved,24
1190,pain,24
3515,desire,24
4284,happened,24
2310,bonnet,24
3915,removed,24
1952,demanded,24
4549,expression,24
6635,leah,24
1079,servants,24
13386,moor,24
5897,circumstances,24
1253,dear,24
2425,pride,23
1221,shoulder,23
2642,town,23
3302,“to,23
1526,lonely,23
2879,seem,23
4081,wait,23
2565,gathered,23
2135,caught,23
6439,sister,23
2583,listened,23
919,attention,23
4497,draw,23
6864,sophie,23
3681,talking,23
15757,foundation,23
1175,act,23
2301,finished,23
233,earth,23
3714,lit,23
5533,"you,”",23
7398,sir?”,23
2769,uncle,23
3096,parlour,23
5989,fresh,23
1500,known,23
2287,charm,23
1918,prepared,23
1884,comfort,23
2821,afterwards,23
5397,horse,23
3467,except,23
929,discovered,23
3832,broad,23
3363,position,23
3928,touch,23
3011,gates,23
4509,burns,23
3360,pupil,23
2256,sad,23
2672,fancy,23
1046,opinion,22
1484,spread,22
4195,cloak,22
8264,thousand,22
3689,kiss,22
2056,burnt,22
3219,six,22
704,turning,22
948,paused,22
1970,wide,22
1542,marble,22
905,nursery,22
3325,daughter,22
6061,leaving,22
2240,library,22
2513,looks,22
866,believed,22
1906,gazed,22
2405,fixed,22
2146,dog,22
6508,waiting,22
1793,stone,22
5747,advanced,22
4718,information,22
3103,“who,22
3442,passion,22
14942,morton,22
1323,instantly,22
2138,able,22
2711,expressed,22
4033,taste,22
1249,abbot,22
3948,amidst,22
1156,eat,22
2700,marked,22
3857,miller,22
4154,shone,22
55,country,22
2492,“are,22
4233,spoken,22
1705,reason,22
3183,it?”,21
2083,“we,21
1702,general,21
884,distant,21
877,object,21
1130,getting,21
2656,pretty,21
2466,fully,21
1706,forced,21
5946,“very,21
2309,making,21
1499,solemn,21
8102,gaze,21
2452,died,21
715,cloud,21
1788,staircase,21
2341,path,21
1083,blind,21
3646,pleased,21
982,immediately,21
731,birds,21
1428,fetch,21
14479,oliver,21
3712,coach,21
1719,running,21
2601,mistress,21
2418,eight,21
3537,solitude,21
1552,repeated,21
3119,shape,21
1137,follow,20
3156,contrary,20
1438,chance,20
7749,confidence,20
3925,common,20
4168,lower,20
1603,warm,20
4326,pounds,20
9224,lynn,20
2373,friend,20
547,early,20
549,winter,20
2777,breath,20
1335,necessary,20
2283,women,20
138,field,20
1328,“miss,20
6312,“there,20
1320,spring,20
5962,likely,20
3129,“this,20
1314,apartment,20
1564,cross,20
5007,surprised,20
2710,roof,20
4987,ma’am,20
3887,twenty,20
3180,burning,20
6049,happiness,20
96,copyright,20
2540,doors,20
1679,silk,20
1963,bring,20
199,class,20
2439,obliged,20
2894,gentle,20
3271,uttered,20
3715,excited,20
2411,ill,20
1795,sank,20
814,formed,20
3254,teachers,20
1746,bound,20
5495,now.”,20
5382,appear,20
2051,easy,20
735,generally,20
2478,pause,20
1916,carried,20
3327,visit,20
2505,knows,20
7430,stern,20
680,red,20
9370,force,19
565,especially,19
4712,forgotten,19
1017,thick,19
1928,hot,19
1808,fit,19
3266,obeyed,19
3581,experience,19
2187,addressed,19
1794,courage,19
1273,disposed,19
574,fingers,19
2714,evidently,19
2783,spirits,19
1763,judgment,19
4362,scatcherd,19
4828,points,19
1021,heavy,19
19,states,19
2533,learn,19
667,possessed,19
2473,result,19
2170,worse,19
2134,asleep,19
218,wrong,19
3000,space,19
501,claim,19
4160,written,19
1465,covered,19
42,license,19
1817,recall,19
4153,gold,19
7924,veil,19
2118,sick,19
828,themselves,19
3894,brown,19
3811,hills,19
3987,reading,19
3168,mouth,19
427,regard,19
1698,farther,19
1193,succeeded,19
3108,efforts,19
4959,remembered,19
2628,clergyman,19
907,allowed,19
1676,wishes,19
8925,poole,19
3903,whispered,19
1172,aware,19
1694,fall,19
4392,whence,19
2046,raised,19
744,solitary,18
2317,“in,18
7280,hay,18
1066,continually,18
2757,hearing,18
3441,plainly,18
296,line,18
3946,single,18
3133,examined,18
1601,complete,18
1686,duty,18
1050,john’s,18
771,among,18
2891,kissed,18
2893,jane.”,18
2030,seeing,18
2079,pronounced,18
3497,questions,18
515,explanation,18
9225,colonel,18
3863,touched,18
1229,neck,18
692,view,18
1917,across,18
7195,cool,18
2189,kindness,18
6143,content,18
3366,trust,18
2183,putting,18
17556,agreement,18
4413,degree,18
1180,cry,18
1905,stirred,18
6035,yours,18
3001,grounds,18
1648,curls,18
3376,expect,18
3003,influence,18
7764,pilot,18
3004,visible,18
5563,movement,18
5972,summer,18
3851,minute,18
2739,purpose,18
2472,express,18
3075,top,18
790,dreary,18
2443,then?”,18
985,forth,18
4634,fate,18
1514,secret,18
1982,“let,18
272,appearance,18
4891,longed,18
648,truly,18
1558,move,18
2843,instead,18
1331,break,18
6446,law,18
1765,brilliant,18
1995,perfect,18
4066,clock,18
975,vision,18
2691,waited,18
12275,janet,18
2578,play,18
2397,charge,18
6985,dining-room,18
3102,enter,17
1979,loud,17
5927,west,17
2588,entrance,17
3390,sudden,17
1145,thence,17
4410,event,17
3260,attempt,17
1343,excitement,17
3377,difficulty,17
2338,weary,17
9236,blanche,17
2102,sentence,17
2699,surveyed,17
2002,aunt,17
1529,nine,17
2812,daily,17
88,service,17
162,thank,17
5820,rooms,17
3117,straight,17
708,aspect,17
203,therefore,17
2822,listening,17
1378,said—,17
654,seated,17
1942,passage,17
5524,withdrew,17
5907,downstairs,17
1424,prayers,17
4186,surprise,17
534,wandering,17
1295,mad,17
2375,“come,17
158,vague,17
5798,receive,17
149,energy,17
3495,suffer,17
5009,fortnight,17
4787,creature,17
2922,summoned,17
3079,slowly,17
2227,vain,17
1819,dread,17
4118,wandered,17
3654,“because,17
3554,heath,17
87,london,17
1943,key,17
18,united,17
3053,opening,17
2762,swept,17
1945,noise,17
3153,impossible,17
3810,changed,17
796,fields,17
5877,ease,17
1163,teach,17
4653,naturally,16
4308,former,16
4342,everything,16
2881,stairs,16
4510,memory,16
4296,comprehend,16
1344,“don’t,16
2926,fond,16
2795,breast,16
6122,reach,16
1321,pair,16
1275,fact,16
4526,talked,16
4662,goodness,16
481,accept,16
2839,noticed,16
4407,wondered,16
3873,hurried,16
4079,resumed,16
9030,joy,16
5836,gay,16
961,run,16
2059,leaning,16
1131,curtains,16
304,accustomed,16
3192,cast,16
3742,hastened,16
287,repeat,16
1727,brain,16
1730,darkness,16
2586,journey,16
3234,remarked,16
8215,agree,16
2003,forgive,16
2438,stayed,16
5357,regarded,16
7496,"me,”",16
3295,portion,16
3474,address,16
3311,christian,16
219,ears,16
1853,alive,16
5514,beginning,16
6549,youth,16
2467,difficult,16
1881,grief,16
7029,peculiar,16
3356,habits,16
4065,doubtless,16
1233,suffering,16
2167,shawl,16
4115,purple,16
1457,windows,16
3065,brief,16
