,word,freq
2119,reading,17
1875,shudder,17
9672,catherine,17
41,license,17
2118,sofa,17
2187,chapel,17
1047,wound,17
2197,lunatic,17
823,simple,17
1015,afternoon,17
2088,above,17
4644,gently,17
1467,faint,17
3479,horrid,17
2907,mina's,17
2226,shadow,17
5159,accept,17
2218,longer,17
2906,kiss,17
5274,blind,17
2037,exeter,17
4285,spiders,17
1604,iron,17
297,fail,17
2403,careful,17
1163,matters,17
1944,centuries,17
4718,port,17
1305,whispered,17
3294,courage,17
921,covered,17
7750,forth,17
1549,beat,17
4262,pier,17
4708,charge,17
990,general,17
479,lot,17
4777,board,17
3784,i'm,17
1810,service,17
4019,1,17
1455,fall,17
480,running,17
5784,visit,17
1033,distance,16
5472,knowing,16
2203,kill,16
9708,hypnotic,16
3888,hearts,16
1533,jumped,16
7669,trance,16
2966,storm,16
881,cross,16
292,transylvania,16
3643,couldn't,16
5023,ghastly,16
1788,pleasure,16
1546,aid,16
6748,cart,16
2421,tells,16
1801,confidence,16
839,talking,16
5592,solemnly,16
454,beauty,16
2683,mystery,16
786,easy,16
2640,determined,16
4188,died,16
2422,story,16
1397,strain,16
3024,arrive,16
152,phonograph,16
2418,walked,16
1307,line,16
3619,holmwood,16
1679,motioned,16
2389,bless,16
5256,scar,16
3103,carry,16
4502,rise,15
1838,nose,15
4169,fight,15
2686,question,15
1184,greater,15
3969,wouldn't,15
3163,drive,15
2832,safety,15
5192,condition,15
3561,dearest,15
2626,besides,15
660,4,15
1189,boat,15
1832,marked,15
3162,joy,15
4428,angry,15
1511,altogether,15
4541,cheerful,15
1597,actually,15
3132,despair,15
1790,attack,15
3624,clever,15
1706,person,15
1156,fierce,15
2188,church,15
681,exactly,15
1154,wished,15
291,regarding,15
4751,deck,15
1082,neither,15
1668,colour,15
1317,fast,15
7359,husband's,15
4460,anxiety,15
3782,it's,15
1023,blue,15
1370,delay,15
6816,sorrow,15
10751,donations,15
803,sleepy,15
3700,crying,15
2332,view,15
2484,enemy,15
3441,30,15
7325,learned,15
955,mass,15
2437,spirit,14
3892,swear,14
3593,week,14
5812,agree,14
883,fingers,14
1119,gloom,14
2450,dying,14
2214,sunshine,14
4922,noon,14
3883,jack,14
3595,nice,14
335,post,14
1226,opening,14
4473,watching,14
1281,tall,14
1589,led,14
3207,watched,14
1670,lamp,14
5082,waking,14
1200,pressed,14
3611,twice,14
3436,hell,14
1170,excitement,14
1643,flesh,14
4585,attention,14
1702,happiness,14
5998,operation,14
5676,instinctively,14
1629,purchase,14
1206,faith,14
2411,afterwards,14
4630,sail,14
3738,won't,14
3599,ten,14
892,guard,14
3284,25,14
686,frightened,14
2365,doubtless,14
1042,hill,14
2703,soft,14
3570,married,14
1055,lower,14
523,slovaks,14
1373,passing,14
2312,foul,14
4792,surprised,14
4450,arranged,14
3582,worth,14
2256,tide,14
3675,lunch,14
2509,age,14
1826,begun,14
1290,reply,14
429,excellent,14
4963,stern,14
715,asking,14
1028,rock,13
789,reach,13
3606,street,13
3771,gentleman,13
2384,proof,13
5746,amsterdam,13
4010,lead,13
3085,szgany,13
3748,occasion,13
5981,boy,13
3,ebook,13
793,5,13
1145,relief,13
4903,special,13
