,word,freq
2806,misfortune,16
1068,society,16
1262,reflections,16
486,back,16
853,describe,16
3348,awoke,15
763,frightful,15
4266,horrible,15
884,except,15
1182,snow,15
1214,voyage,15
1919,open,15
2161,powers,15
2369,unfortunate,15
3144,smiles,15
2826,philosophy,15
2760,states,15
2400,bed,15
7667,donations,15
312,people,15
3425,strength,15
791,silence,15
909,word,15
1653,marriage,15
914,circumstances,15
114,comply,15
3886,right,15
160,scarcely,15
2699,shore,15
1320,names,15
149,former,15
3111,departed,15
35,license,15
1875,distance,15
3925,cried,15
1469,excellent,15
452,bestow,15
140,forward,15
1586,solitude,15
166,daughter,15
3893,reflected,15
966,point,15
1264,agitation,14
5054,moved,14
263,call,14
185,write,14
1979,expression,14
267,pleasant,14
587,excited,14
801,behold,14
2052,frame,14
2132,tried,14
2076,amiable,14
273,creatures,14
274,fancy,14
178,favourite,14
2476,benevolent,14
360,things,14
2477,tranquillity,14
5479,understood,14
492,advanced,14
1221,curiosity,14
3750,created,14
1306,allow,14
882,presented,14
2666,capable,14
1373,admiration,14
475,along,14
2174,told,14
5319,hovel,14
212,latter,14
934,event,14
2365,wretchedness,14
5115,thou,14
3966,remorse,14
978,truth,14
3213,mr,14
2621,presence,14
2205,sky,14
1627,herself,14
4697,past,14
1966,recovered,14
4405,wandered,14
316,age,14
4984,waves,14
2202,presently,14
1971,sufferings,14
723,gone,14
199,following,14
4320,hatred,14
2580,charge,14
2818,mountain,14
1348,thirst,14
767,endeavour,13
3492,surprised,13
1133,undertaking,13
3997,ernest,13
2227,above,13
2186,ought,13
1135,north,13
1704,committed,13
1692,winter,13
1354,devoted,13
772,success,13
1466,meet,13
1597,believed,13
1231,commence,13
828,sense,13
969,passions,13
2175,reflection,13
2058,promised,13
3384,gained,13
742,shut,13
2059,instant,13
226,least,13
7595,archive,13
1573,city,13
1628,feet,13
2765,directed,13
5371,employed,13
2438,parents,13
3132,less,13
1158,vain,13
1647,bestowed,13
2093,watching,13
3517,arabian,13
7553,copyright,13
1047,virtue,13
872,certainly,13
1050,spring,13
1054,conceived,13
2740,enjoyed,13
2020,pursued,13
279,beneath,13
3482,paused,13
868,urged,13
4483,magistrate,13
359,better,13
1280,prospect,13
4041,reason,13
409,divine,13
1754,dare,13
4824,crimes,13
1970,feared,13
568,obliged,13
5574,protectors,13
2301,next,13
40,modern,13
1941,limbs,13
1258,secret,13
3006,threw,13
2546,labour,13
1277,ardour,13
1922,addressed,13
3638,remembered,13
4915,mighty,13
598,round,13
718,warmth,12
1816,themselves,12
2002,off,12
2442,justice,12
2865,studies,12
4888,access,12
2298,destiny,12
3954,objects,12
3962,cheerful,12
2635,occupations,12
1965,degrees,12
2527,turn,12
2299,listen,12
4142,torture,12
3701,fellow-creatures,12
950,considered,12
1192,hitherto,12
3556,plan,12
1603,paid,12
2625,village,12
6774,kirwin,12
830,white,12
623,beginning,12
708,corpse,12
1587,best,12
936,supposed,12
1260,possible,12
1229,danger,12
1944,fatigue,12
1283,ocean,12
1709,sensation,12
5053,hunger,12
6016,dreadful,12
1936,satisfied,12
4429,cast,12
3175,companions,12
522,noble,12
1359,branches,12
27,copy,12
1299,increased,12
5001,woods,12
1349,want,12
2281,doubt,12
1873,sledge,12
1648,remains,12
3946,surely,12
3062,arrive,12
4357,mont,12
549,lady,12
3368,listened,12
2468,fair,12
5047,clouds,12
499,eternal,12
1242,river,12
1204,expected,12
5092,abhorred,12
1536,greatly,12
1537,enough,12
2639,evening,12
1520,books,12
1519,wild,12
2019,fled,12
1633,consent,12
513,fresh,12
1977,duty,11
1797,experienced,11
2308,related,11
217,done,11
253,residence,11
1644,money,11
2616,permission,11
2406,rapidly,11
1972,deprived,11
1803,assured,11
1815,stars,11
2048,broken,11
7590,paragraph,11
1266,enthusiasm,11
244,considerable,11
2545,hard,11
911,changed,11
3,ebook,11
79,london,11
1861,vast,11
4950,associated,11
590,fears,11
1052,situation,11
2685,learn,11
1851,accordingly,11
5337,provided,11
4518,condemned,11
4245,times,11
1086,fall,11
2081,pity,11
1446,three,11
152,confined,11
2566,blue,11
476,gloomy,11
2073,compassion,11
1522,ceased,11
2307,duties,11
2209,suffer,11
3188,longed,11
1583,known,11
1408,demand,11
3794,approach,11
2096,utterly,11
2436,wife,11
3702,guilty,11
3536,difficulty,11
1001,receive,11
2570,species,11
1014,circumstance,11
1017,partly,11
4796,carried,11
3468,trembled,11
4032,inhabitants,11
2913,gazed,11
715,together,11
3722,rushed,11
4352,waters,11
1249,mankind,11
691,really,11
378,summer,11
1739,besides,11
303,figure,11
337,obtain,11
2614,hills,11
546,terrible,11
2564,clear,11
1659,honour,11
812,terror,11
2977,behind,11
322,stood,11
1758,picture,11
1892,follow,11
321,reality,11
5674,prison,11
286,sides,11
3054,utter,11
382,switzerland,11
2017,gloom,11
2352,poverty,10
617,forced,10
765,effect,10
1579,gentleness,10
1504,bitterly,10
5661,de,10
169,distinguished,10
4238,pressed,10
1682,conceive,10
3880,tell,10
1934,afford,10
704,move,10
735,arose,10
7563,trademark,10
3197,solitary,10
1073,season,10
3821,court,10
4298,weep,10
4665,rise,10
2003,ask,10
2012,repose,10
807,looking,10
3860,recollection,10
4420,devil,10
5162,cursed,10
781,slight,10
3538,attempt,10
2864,returning,10
1703,safety,10
503,bent,10
4531,trial,10
1166,margaret,10
5133,thee,10
442,arms,10
1984,act,10
42,author,10
5669,paris,10
3068,persuade,10
